"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","y"
"37",-0.319866652798502,-1.78273966192117,-0.509490571862725,-0.132870728973891,0.0121282623337153,-0.217216586049879,-1.44665050565487,-0.949875960138285,-1.82110351100655,-0.983769031026766,1.14002245910025,0.236123254446058,0.403703199371422,-0.418484580180312,-1.88790665956103,-1.39382574718186,0.00771429177672734,0.812770306586842,2.37486098528917,0.731726627111349,0.615941119534222,0.780705804986473,-0.979751542279751,-0.461511358692394,-2.04540548955267,0.822873438089973,-0.457964422771431,-1.170476113996,1.94063167216084,0.446114908383313,1
"148",0.162034382764217,-0.366206555896018,-0.318992500940617,0.92844550229166,-0.29405269103381,0.862494675170392,-0.294654999902893,-0.0325729291460542,-0.484781358219356,0.288839972168655,0.757060144946971,-0.82114456093797,-1.08732956530712,0.180044272003914,0.507271248846641,0.142448052757696,-0.475148758548997,-0.164009961734619,-0.60282477206506,-0.825562334557802,0.58249717850203,0.385468760709373,1.2654490272151,0.362401187499688,0.329941679088144,0.814780746161956,0.199155952503821,-0.284356695413736,-0.291729947949213,-0.771806275324977,1
"187",-1.83039110563183,0.663793466528397,-0.394207298912417,1.44597194777911,-0.159527473424042,-0.938227671229985,0.0693534504760025,-0.145624086743084,0.0374095208958013,-1.74130995338969,-0.186070237984869,-0.64174250424728,-0.31660833227597,-0.159738942911512,0.741653287996097,0.25769446752843,-0.602107416293203,0.41284521771865,1.86437285945862,-0.79701772633894,0.776863033265688,0.527492452952578,0.972503107531093,0.0616657772003637,0.546433264531637,-0.196517444933875,0.0382459466944565,-1.4477025847537,2.22519335080608,-0.542182876963047,0
"92",0.0899993705400962,0.660587275992559,-0.715335386170665,-0.643461121918571,0.654244514524774,-1.85005287661068,0.167254651327343,-0.28393013629803,-0.537093426846805,-0.186324978459787,0.761623227740751,0.869207686963179,-0.789701770126844,-1.52184414980518,-0.401621563586779,0.163687271086498,1.03652336874206,0.0492324726220054,-0.0865615609178914,0.439140545799083,1.34628699843243,-1.56422319134118,1.1960536017908,-1.70178252149936,-0.809954294941606,-0.389291846232758,-0.563082434933665,-0.856858775464062,0.239025889493612,0.471209796373353,0
"384",0.0168838319708964,-0.357423892949771,-0.412270232718862,-0.0344421573679933,0.263881155509614,-1.32701080671286,0.69955831200446,-0.44041387474971,-0.836673482142918,-0.804550244750728,-0.749880575875562,0.161008274425094,2.44795362938196,-1.1557865976849,-0.0993258715635883,-0.276901593989309,1.56692194753311,-1.11512560671886,0.560269502228427,-1.13387596623376,-0.489802123963023,0.292983678431726,-1.76566887382765,-0.679498783547466,0.30425175271852,0.176723488133441,-1.63731779761484,2.16380467018671,-0.0201003929663404,-0.707487484729896,0
"65",0.0423854334138112,-0.540542580952795,0.17451101902329,0.624019381271253,0.368510207263578,-1.00346203900658,-0.975012210762825,0.816768415459828,0.644655007987906,1.03660231446168,0.20312182272289,1.5259285191828,1.02480809009008,1.94126220287774,-0.624233183127661,0.717890564299279,0.775605012315328,-0.590670075618725,-1.39660193195237,0.858271405253788,-0.331944406782792,-1.44793708884729,-1.43305852243458,1.76881067856225,-0.86414557793063,-0.453783107850273,-0.795958660457189,0.620648539036687,-0.985857551969352,0.201381637540267,1
"390",-0.938069355202093,-0.0486748019496966,0.806940811637112,0.453993097905438,-0.551835954115989,0.671309665715299,-0.014146111106852,0.868209565134534,1.79927081887372,0.212847828727898,-0.995549747756608,-0.873114311123509,0.273472674992191,-0.455543798149558,0.637806091335923,-0.698045431955317,-1.15698304249917,-0.301046926622219,-0.807323825499629,0.638224334918196,-1.3028934802279,0.27543310573907,0.6136641690311,-0.909361962636112,0.426168613003005,0.467705456038586,1.11714971638424,0.273351977189994,-1.50470808954458,0.620458872573034,1
"279",1.62448270845814,-1.05962550444932,-0.684108662358044,-0.431597332116097,0.878508996034521,0.35774239944835,-0.133230061919899,-0.145957571670539,-1.68444578164692,0.740922112155146,0.59229985516248,-0.901691334087568,0.183384414645908,-0.741189762629223,0.0030929162047897,-0.165965748523435,0.83535278481099,-0.236819189882506,-1.43831865424439,-0.0673645725165091,-0.396691066719206,0.963335316121836,-0.600467971707866,-0.973695816066821,0.13389590443376,0.237399142345943,-1.36710534181208,0.540770583437698,-1.24692444964268,-0.397338839959808,1
"269",0.569672885681042,0.459196580958234,-1.33418116350024,0.709119821786265,-0.476529155494943,1.6428695470982,-0.599260446719587,-0.644231684938509,-0.844471508886196,1.33132690956399,-0.0595294190775894,-0.183630926630026,1.20286100387912,0.672568094650658,-1.47779384557717,2.4767098007653,-0.329403850562056,-1.3523351827915,-0.0392889457794984,-0.155102662604692,-0.271931734223603,-0.106781132397677,-1.02991184029399,0.996929282261426,-1.96100521181467,-2.24391490565402,0.731600058805072,1.42558797058947,-0.02609887833358,-0.155413961769478,1
"221",0.820079961103614,-1.69945363873765,1.21328959315503,-0.713953537518953,0.0746985630449686,-0.0587527757452609,-2.23206618767432,0.337466522574375,0.873609830374772,0.0308177584595065,0.21883917342806,-0.923492683021501,-0.673657428929355,-0.348281716155414,-0.384714681958082,0.496277742743993,0.337182981322334,-0.0837477313693167,-0.408902361683103,-2.7276446124999,-0.951979833274965,0.548586051098579,0.485092037058672,-0.430575201321723,-0.229782100106854,-0.220948523216121,-0.175373259017204,0.470492398641716,-0.44822216856212,-2.20227174514309,1
